game_pk,team_id,home,runs_scored,runs_diff,wins_before_game,losses_before_game,home_runs,total_bases,at_bats,plate_appearances
717182,146,true,1,-2,57,50,0,13,34,39
717182,143,false,3,2,57,49,1,11,31,33
